manchete,subtitulo,texto,data_publicacao,autor,classificacao_etaria,categoria
Tempora molestiae minima aut occaecati consequuntur nihil asperiores.,Beatae ratione magni quas qui pariatur voluptas temporibus quia aspernatur fugiat odit mollitia.,Quis repellendus magni sapiente. Numquam debitis numquam facere. Vitae ipsum omnis corporis. Tenetur magni deleniti blanditiis iste adipisci.,2024-07-18,Maria Vitória Guerra,10,Ciência
Modi deserunt voluptatum unde.,Et iure id fuga doloremque sunt eos dolorem harum dolorum totam dolorem.,Asperiores odio tempora facere culpa rerum aliquid. Ullam quod odit ipsam nesciunt possimus labore. Voluptates explicabo accusantium inventore quam dolor provident. Sit eaque sequi voluptatum sed maxime. Quod ratione suscipit fuga magnam. Expedita doloribus ut velit esse inventore ut ipsam.,2024-03-10,Sr. Benjamim Machado,18,Tecnologia
Impedit possimus dignissimos sed occaecati.,A placeat natus id similique odio sapiente.,Culpa blanditiis minima praesentium earum dolorum. Culpa soluta aperiam tempora nemo. Ab dicta fuga sapiente. Sapiente deleniti molestiae praesentium.,2024-01-20,Henrique Vieira,0,Esportes
Quas occaecati quam ex.,Blanditiis maiores aliquid eaque minus asperiores sunt provident ea.,Adipisci quas suscipit occaecati doloremque excepturi quo. Libero libero ut autem inventore. Beatae asperiores animi similique sint repellat voluptates. Officia laborum vel aspernatur. Repudiandae cupiditate neque. Similique et dolor itaque.,2024-03-02,Ana Cecília Castro,14,Esportes
Reprehenderit nulla incidunt praesentium.,Omnis sit velit pariatur amet consequatur neque autem expedita nulla.,Laudantium repellat optio nisi mollitia beatae. Dignissimos impedit dolore distinctio. Hic commodi vel quas laborum. Perferendis vitae laboriosam officia.,2024-10-03,Vitória da Cunha,10,Ciência
Ullam sunt reiciendis sequi nam eum.,Quas dolorem dicta culpa atque laborum maiores nam maxime.,Delectus assumenda ex nesciunt consequuntur. Dolore iusto expedita quod labore. Delectus dicta nobis repudiandae praesentium recusandae. Non velit unde ratione.,2024-09-22,Isabella Mendonça,0,Política
Voluptatem nihil error laborum recusandae quae.,Tenetur sed possimus dolor eos minus.,Corporis quo aliquam quas. Maxime asperiores labore natus accusamus provident. A accusantium consequatur voluptas. Atque quas amet et debitis rem quasi. Odit commodi cumque harum.,2024-03-10,Maria Flor Gonçalves,12,Tecnologia
Laborum porro necessitatibus et corrupti.,Ipsa amet similique ducimus sit eius itaque sapiente.,Amet culpa quas sunt sit recusandae. Enim cumque laboriosam distinctio explicabo. Eveniet consequatur ratione optio repudiandae.,2024-10-30,Stephany Pastor,12,Entretenimento
A nam earum enim.,Itaque aperiam saepe facere nesciunt quasi similique aspernatur doloremque libero.,Labore iure facere quod cupiditate officiis ducimus. Temporibus officia excepturi sunt id eum consequatur. Quasi in exercitationem est necessitatibus. Perferendis quas fugiat pariatur soluta dicta.,2024-08-15,Sophia Almeida,12,Ciência
Accusamus sed cumque.,Omnis ex possimus illo amet incidunt ipsa ab.,Occaecati ut mollitia ad vel. Aliquam sunt earum autem harum cumque natus. Corporis totam minima in quae magnam rem. Possimus rem eaque adipisci.,2024-03-04,Ravy Melo,18,Esportes
Dolorem eveniet impedit sint quam molestias optio.,Magnam assumenda laboriosam eveniet rerum fugit earum ipsa.,Rem repudiandae veniam ut. Culpa possimus deserunt tempore quasi. Amet enim consequatur similique maiores.,2024-02-18,Murilo Fogaça,14,Esportes
Sequi enim asperiores magnam inventore numquam.,Non itaque et corrupti voluptatibus quibusdam deserunt repellat.,Temporibus et minus suscipit asperiores occaecati. Eligendi itaque itaque excepturi similique quos incidunt. Tempore ab eius consequuntur atque ratione. Voluptate exercitationem labore eligendi.,2024-12-02,Marcela Sá,0,Ciência
Magni quo nobis quaerat.,Praesentium sed sit blanditiis officiis aspernatur ut maiores voluptatum dignissimos quam ipsam labore.,Fuga harum voluptatibus eum sequi. Corrupti optio numquam sapiente inventore hic. Nihil voluptate enim est eveniet eveniet quos. Doloribus consequuntur quod porro ipsam tempora repudiandae.,2024-10-15,Eloá Moraes,16,Política
Dignissimos consequatur laboriosam sed fugiat eos.,Asperiores cum illo inventore accusamus molestiae.,Id dolorem at doloremque. In modi culpa in at cumque. Amet sint blanditiis ipsa natus assumenda porro. Quam ea voluptates ratione ratione. Ducimus natus temporibus autem ipsum accusantium. Tempore doloremque dolores inventore necessitatibus.,2024-04-12,Kaique da Luz,12,Tecnologia
Quia velit tempore reiciendis repellat nam.,Soluta odit culpa eaque temporibus veritatis assumenda.,Occaecati quam qui hic quae tenetur. Ratione neque molestias itaque deserunt ducimus. Ad corrupti magnam dolor veniam. Praesentium laudantium maxime sapiente voluptatem.,2024-05-21,Sarah Cardoso,12,Ciência
Alias possimus debitis voluptatum doloremque architecto placeat.,Consequatur nulla accusantium error quidem autem voluptatum provident quisquam.,Cum iure nostrum amet inventore. Omnis dicta minus. Sed sed maiores ducimus consequuntur praesentium. Sed similique iste officiis molestias corporis hic quaerat.,2024-08-31,Eloah Cirino,10,Tecnologia
Quis quia voluptas fugit aliquam voluptas sequi.,Blanditiis perspiciatis officia assumenda vel nihil veritatis deserunt officia.,Nisi nihil unde debitis tempora minima nesciunt. Tenetur vero ab vero qui corrupti. Corporis temporibus eos soluta. Aliquam debitis nesciunt beatae.,2024-01-02,Sra. Maria Helena Gonçalves,10,Tecnologia
Voluptas tempore quos dolorem fugiat ducimus et.,Quod vitae sint ad fuga blanditiis recusandae deleniti nostrum dignissimos repudiandae quidem.,Ullam assumenda commodi vitae. Tenetur nesciunt eos corrupti. Accusantium odio sed natus cum. Quis odio blanditiis vero autem. Libero magnam vel. Minima esse sunt nobis.,2024-05-02,Benjamin da Paz,12,Ciência
Velit architecto velit earum ratione aut.,Voluptates veritatis eum cupiditate alias nisi totam.,Nisi consequatur eligendi ducimus excepturi quas inventore. Id laborum minima perspiciatis. Quasi non iusto. Est vitae vero.,2024-11-30,Yago Santos,10,Ciência
Iusto dolores soluta quod non quidem.,Deserunt corrupti illo quo illum maxime quasi.,Magnam facere assumenda. Quia tempora vitae sint natus ipsa aliquam nemo. Debitis sequi saepe occaecati amet nam. Quidem voluptatem mollitia dolor facere sapiente.,2024-06-24,Sofia Abreu,16,Política
Quia id quibusdam amet eum earum molestiae.,Accusamus deserunt totam ducimus accusantium beatae.,Perferendis officiis quibusdam consequuntur. Fuga officia voluptatum maiores. Quidem quod quas quos cum provident. Dicta illo ab quisquam. Laboriosam doloribus at sequi ipsa ad asperiores.,2024-01-02,Dr. Gael Barros,18,Ciência
Sed veritatis magnam accusamus debitis facilis.,Eaque odio error nobis alias officia odit doloremque.,Praesentium voluptates vitae quod. Molestiae distinctio doloremque sit at dolorum accusamus. Quisquam dicta placeat totam totam aperiam. Assumenda nihil nostrum fuga iste error blanditiis temporibus. Sapiente debitis sequi consequuntur. Esse est dolorum hic accusantium necessitatibus nesciunt.,2024-05-09,Isabelly da Costa,0,Tecnologia
Impedit officia deleniti repellat aliquam provident itaque.,Quod optio mollitia quia nobis aliquam.,Repellendus numquam velit. Libero doloremque fuga corporis cupiditate fugit magni. Vitae ipsa suscipit quasi minus. Totam ex dolorem atque sed aperiam repellendus illum. Ullam suscipit tempore ex dignissimos.,2024-04-02,Ana Júlia da Conceição,10,Entretenimento
Mollitia officiis in eveniet quisquam eveniet vitae.,Magni mollitia omnis earum laboriosam doloribus expedita mollitia a amet dolor.,Possimus perferendis quaerat delectus quae. Vel iure est corporis. Dolore earum assumenda eligendi. Quaerat tempora ab. Recusandae voluptatum error expedita dicta tempore quam.,2024-07-19,Gustavo Henrique Andrade,12,Ciência
Sit provident omnis vero.,Molestias pariatur commodi explicabo quia quibusdam nihil voluptates ab quos deleniti perferendis.,Velit dolorum molestiae neque ut soluta. Corrupti enim sint expedita numquam impedit beatae voluptas. Architecto enim facilis alias atque aliquid. Consequatur sint iure non. Cupiditate repudiandae perspiciatis. Aspernatur aliquid occaecati fuga deleniti quia quidem ipsa.,2024-02-12,Antônio da Rosa,10,Política
Vitae illum ullam non laboriosam.,Soluta quod corrupti unde voluptatibus consequatur.,Officia molestias ea sit fugiat. Quas error consequuntur cum facilis. Blanditiis cupiditate nihil temporibus tempora. Ducimus delectus inventore tempora molestias.,2024-02-13,Sophia Lopes,18,Economia
Recusandae officia reiciendis voluptas.,Consectetur voluptate quidem saepe eveniet porro beatae.,Et quod excepturi. Porro nulla reprehenderit illum voluptatum. Commodi illum officia eaque.,2023-12-14,Caleb Cirino,10,Tecnologia
Incidunt quisquam laboriosam.,Aut ab inventore laborum voluptatibus quos.,Corporis ea est nostrum. Sint earum laboriosam. Distinctio libero aliquid veniam molestias nostrum quasi.,2024-09-15,Joana Teixeira,14,Política
Aspernatur iure vero molestias est.,Illum esse repellat odit expedita pariatur delectus sit sit.,Dolor illo sed vitae. Molestiae aliquid quo modi quia. Delectus neque architecto aspernatur. Ut voluptas tempore. Recusandae sint maiores ex veritatis maiores maiores iste.,2024-08-12,Luiz Otávio Barbosa,10,Entretenimento
Nihil minima reprehenderit cum dolorem.,Perspiciatis vitae accusamus aliquam facere nihil.,Ut excepturi dicta dolorem reprehenderit temporibus. Praesentium occaecati a distinctio voluptatem omnis. Vitae magni aliquam exercitationem mollitia repellendus. Vero cum a rem temporibus.,2024-08-01,Heitor Duarte,0,Tecnologia
Deserunt quibusdam recusandae voluptates corporis odio.,Minima ullam nobis tempore saepe optio eaque.,Non quod repellendus error ea occaecati iste ut. Tempore quam similique at sequi ad eaque. Sapiente vitae maiores culpa culpa. Praesentium architecto sed repellendus dolor iure eos dicta. Iusto dolorem omnis animi. Dolor sit saepe est excepturi hic earum perferendis.,2024-01-24,Juliana Mendonça,0,Entretenimento
Necessitatibus facere consectetur saepe explicabo.,Sunt voluptate impedit officiis dicta id repellendus rerum temporibus nemo.,Facere incidunt laboriosam modi deleniti repellat hic. Ullam amet ab laudantium. Suscipit ullam occaecati doloribus alias.,2024-07-29,Danilo Rezende,18,Ciência
Unde earum at ut.,Earum quasi cumque pariatur eum sed laboriosam.,Cum dolorum accusamus error itaque earum laborum nobis. Ex quod rem. Doloremque totam possimus minus voluptate. Nobis animi ut facere ut consectetur commodi minima. Excepturi repellendus qui veniam.,2024-01-22,Juliana Porto,14,Tecnologia
Adipisci eaque at fugiat.,Tenetur voluptatem perspiciatis cumque nesciunt cumque.,Quia eum at. Porro dignissimos deserunt reprehenderit. Minima aliquid quas maxime nihil facilis. Nostrum excepturi repellat quisquam ut ipsam. Labore voluptatibus reiciendis quo. Nobis porro alias officiis doloribus quasi mollitia.,2024-03-06,Ana Vitória da Luz,12,Ciência
Ab deserunt vel quod occaecati quia.,Soluta consequuntur soluta perferendis aperiam quidem non itaque iure ullam eaque aliquid.,Voluptatibus consequuntur corrupti cum pariatur. Dolores veritatis sequi modi iste accusamus mollitia. Repellat ab enim id enim ad. Ipsam quasi tenetur ducimus ipsam maiores officia. Eligendi itaque officiis. Aliquid quod modi doloremque.,2024-05-29,Anthony Gabriel Sousa,16,Política
Veniam aperiam autem.,Tempore optio natus architecto a sapiente hic esse sit eum consequatur.,Dignissimos voluptate aut totam asperiores. Inventore nihil architecto optio eos. Quisquam repellat odit nesciunt asperiores. Suscipit nulla sunt repellendus sit ab. Aperiam eligendi nostrum vitae. Corporis debitis iste enim optio.,2024-04-15,Felipe Rios,16,Economia
Tempora quia est iure commodi inventore quaerat.,Maxime harum aliquam dolor eum iure praesentium commodi.,Id quibusdam eveniet odit. Perferendis hic animi maiores rerum libero. Vitae non rerum provident voluptates perspiciatis debitis. Fugiat sapiente dolore distinctio cum dolorum. Officiis vel nobis excepturi facilis in veniam.,2024-08-17,Murilo Sales,0,Tecnologia
Fugiat maxime sunt.,Voluptate laborum deleniti quia eius temporibus at a incidunt natus repellendus ad beatae.,Cumque autem ipsum iure consectetur quaerat pariatur. Aspernatur molestias inventore eos dolorem. Cupiditate dolorum libero impedit doloribus esse. Laboriosam officiis sint alias.,2024-02-28,Calebe Sousa,16,Esportes
Dignissimos odit ullam architecto veniam corrupti vitae aperiam.,Explicabo ad eum debitis provident eveniet esse in fugiat inventore vel tenetur iusto.,Quibusdam ullam recusandae molestias dolore pariatur modi. Dignissimos sit quisquam minus recusandae expedita necessitatibus. Culpa dolorem dolor distinctio accusamus.,2024-12-04,Dra. Bella Pastor,18,Ciência
Ipsam sed nihil iure tenetur minus.,Inventore dignissimos deleniti veritatis minima at quaerat ex sint iusto.,Corrupti aliquid quidem omnis voluptate qui ducimus. Reiciendis similique autem doloribus aliquam. Ratione soluta sunt quia. Laboriosam adipisci maiores accusantium fugit ipsam incidunt. Neque nam perferendis. Laborum deleniti eveniet nostrum voluptatibus.,2024-08-13,Luiz Fernando Silva,0,Tecnologia
Ad nesciunt odit molestias.,Qui inventore nesciunt harum blanditiis similique nam vero libero laboriosam asperiores eaque.,Ipsa dolorum non id eveniet excepturi ut. Unde amet adipisci saepe. Similique ea delectus perspiciatis.,2024-10-10,Maria Cecília Cavalcanti,10,Ciência
Beatae repellat sequi sunt corrupti.,Fugit illo tempore voluptas eum modi officiis sit aut cum.,Recusandae aperiam natus odio. Praesentium neque corporis itaque aliquam magni. Nisi accusamus quo. Unde saepe harum minus delectus. Sequi magni non asperiores fuga tempora minima repudiandae. Minima est eveniet.,2024-11-02,Davi Machado,16,Ciência
Veritatis officia tempore architecto sint consequatur.,Mollitia alias eveniet totam saepe error sint cupiditate delectus.,Eveniet deserunt temporibus distinctio quia delectus. Earum aperiam ea eos quibusdam delectus a doloribus. Animi doloribus laboriosam commodi autem molestiae.,2024-07-17,Marcos Vinicius Souza,14,Economia
Enim maxime odio nemo esse molestias.,Ad nostrum voluptatibus voluptatem ex autem ad aperiam odit porro rerum officiis nostrum.,Minima cupiditate tenetur inventore minima occaecati. Quaerat eius quidem est ullam consequatur nam occaecati. Autem numquam veniam vero ducimus nulla nisi. Fugit explicabo nihil sunt beatae itaque vitae. Odio delectus ad esse est dolores. Totam fuga doloremque voluptas iste reprehenderit iste.,2024-05-15,Caroline Aragão,14,Entretenimento
Similique veniam occaecati sunt.,Est fugit saepe impedit animi itaque labore adipisci.,Sit recusandae beatae commodi occaecati. Suscipit minus aliquam perferendis facilis accusamus. Quidem officiis quos explicabo iusto. Repellat id eaque aperiam porro eius. Atque quos cumque ex. Fugit ea hic.,2024-04-09,Dr. Enzo Duarte,0,Política
Facere facilis necessitatibus ea dolore occaecati.,Exercitationem alias quia nesciunt labore dolorem accusamus eius est cum rerum at.,Tempore voluptas id neque veniam odit. Expedita autem quibusdam tenetur cupiditate reiciendis. Alias libero necessitatibus repellat quam in ducimus. Ea expedita vero fugit eos.,2024-10-27,Sr. Enrico Pinto,14,Economia
